"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C19,C18,C17,C16,C15,C14,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C23,C22,C21,C20,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23";"C_1210";40;"10u 50V";;;
2;"D5,D5,D5,D5";"LED_SMD_RGBW_4W_ISOLATED";4;"LED_RGBW";;;
3;"C11,C10,C12,C13,C11,C10,C12,C13,C11,C10,C12,C13,C10,C11,C12,C13";"C_0805_HandSoldering";16;"100n";;;
4;"Q1,Q1,Q1,Q1";"SOT-23";4;"BC107";;;
5;"C9,C6,C9,C6,C9,C6,C6,C9";"C_0603_HandSoldering";8;"1u";;;
6;"M2,M1,M2,M1,M2,M1,M1,M2";"MountingHole_3.2mm_M3_Pad_Via";8;"mounting hole";;;
7;"R15,R5,R17,R1,R8,R16,R14,R3,R15,R5,R17,R1,R8,R16,R14,R3,R15,R5,R17,R1,R8,R16,R14,R3,R1,R3,R5,R8,R14,R15,R16,R17";"R_0603_HandSoldering";32;"10k";;;
8;"D1,D2,D3,D4,D1,D2,D3,D4,D1,D2,D3,D4,D1,D2,D3,D4";"D_SMA_Standard";16;"SS310";;;
9;"L3,L1,L2,L4,L3,L1,L2,L4,L3,L1,L2,L4,L4,L1,L2,L3";"Choke_SMD_4.5x4x3.2";16;"68u";;;
10;"R13,R10,R11,R12,R13,R10,R11,R12,R13,R10,R11,R12,R10,R11,R12,R13";"R_1206_HandSoldering";16;"0.33";;;
11;"C1,C2,C8,C7,C5,C1,C2,C8,C7,C5,C1,C2,C8,C7,C5,C5,C1,C2,C7,C8";"C_0603_HandSoldering";20;"100n";;;
12;"U3,U3,U3,U3";"SOT-223";4;"1117-3.3";;;
13;"U1,U1,U1,U1";"TSSOP-20_4.4x6.5mm_Pitch0.65mm";4;"STM32F030F4Px";;;
14;"U4,U6,U5,U7,U4,U6,U5,U7,U4,U6,U5,U7,U4,U5,U6,U7";"SOT89-5_Housing_Handsoldering";16;"PT4115";;;
15;"R6,R6,R6,R6";"R_0603_HandSoldering";4;"6k8";;;
16;"Y1,Y1,Y1,Y1";"Crystal_SMD_HC49-SD";4;"8MHz";;;
17;"C3,C4,C3,C4,C3,C4,C3,C4";"C_0603_HandSoldering";8;"20p";;;
18;"R4,R4,R4,R4";"R_0603_HandSoldering";4;"1k";;;
19;"R7,R9,R7,R9,R7,R9,R7,R9";"R_0603_HandSoldering";8;"10";;;
20;"J2,J3,J2,J3,J2,J3,J2,J3";"Pin_Header_Straight_1x08_Pitch2.54mm";8;"CONN_01X08";;;
21;"U2,U2,U2,U2";"SO-8";4;"SN75176";;;
22;"R2,R2,R2,R2";"R_0603_HandSoldering";4;"220";;;
23;"J1,J1,J1,J1";"AK300-2";4;"Screw_Terminal_1x02";;;
24;"CON1,CON1,CON1,CON1";"TC2050-IDC";4;"10PIN_JTAG_SWD";;;
25;"G***";"Shimatta_SolderMask";1;"LOGO";;;
26;"REF***";"ESD-Logo_8.9x8mm_SilkScreen";1;"ESD-Logo_8.9x8mm_SilkScreen";;;
27;"REF***";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo_4.2x6mm_SilkScreen";;;
28;"REF**";"Symbol_KiCAD-Logo_CopperAndSilkScreenTop";1;"KiCAD Logo";;;
